short_descriptions,priority
fw grasp notification issue,MEDIUM
is overfilled by eemon processes,LOW
hardware battery faulty,LOW
shedule and start jobs for copa revaluation,CRITICAL
sap application ccr monitoring not in active im,LOW
ng access to shared mailbox nbc horeca cchellenic com,MEDIUM
pl add planon roles,MEDIUM
support portal unable to login,LOW
vpn remote access,MEDIUM
due to re org from opdc to oapi po was transferred to po please remove approval workflow for business approval attached,HIGH
p nun nokia system device has stopped sending events offense generation,MEDIUM
jabber phone service issue,LOW
no internet connection,MEDIUM
it corner concierge,LOW
shutoff nostate after the weekend,MEDIUM
period closing in ecr for has not y,LOW
problem running matlab compiled executables in hwee grid environment,LOW
no authorization to enter site forge,LOW
crm q access,MEDIUM
demand management tool invalid access url,LOW
fcw support required covid,MEDIUM
hardware in replacing laptop charger request,LOW
skype meetings report requested,MEDIUM
jabber ru jabber phone services not connected,LOW
bitlocker recovery key issue,MEDIUM
user access roles,CRITICAL
snmpagent pfizer com notresponding intel,LOW
pfizer com down solaris zone,HIGH
puuemasecva emea pfizer com down intel,HIGH
at assign leo plan profile,MEDIUM
skype for business emojis are not being displayed,MEDIUM
gpma access query,LOW
nokia pc in sleep mode every minutes,LOW
it corner concierge,LOW
version synch issue between jira projects,LOW
software center shows empty,LOW
ipad set up,MEDIUM
bitlocker drive recovery key request,MEDIUM
cdb prod execute failed,LOW
r d development virtual machine frozen,LOW
sign in issue,MEDIUM
bpms portal access,MEDIUM
webex meeting center auto account creation failed,LOW
pl citrix issue on ipad reg,CRITICAL
citrix login issue,LOW
ph bitlocker recovery key prompt ref local it assistance required,LOW
bitlocker recovery manage your pin was missing,MEDIUM
pdm staged mass emails,LOW
rfc pgs argentina planned power outage on pompeya mtr,LOW
assign new group to user in snow,MEDIUM
p nun nokia exploit multiple exploit types against single destination,MEDIUM
sso appears again and again,LOW
getting sso error when signing on support portal https customer nokia com support s,LOW
pc termination owner information cannot be found in nokia it portal,LOW
p nun nokia soar security risk found on host,MEDIUM
it corner concierge,LOW
p nun nokia proactive recurrent reinfection,MEDIUM
it corner concierge,LOW
enable on shared drive,LOW
r studio not working in server,HIGH
pl access to,MEDIUM
priority gxs alcatel gxs proactive monit dcts a qtc ordrsp message failure to comcast moderate,LOW
project not visible after creation,MEDIUM
microsoft visio pro en not available on software center,LOW
am no ping reply,HIGH
cryptex password request,MEDIUM
cid supplier table has data load error,LOW
pfizer com logmonitor filesystem or device errors escalate and investigate issues asap unix syslog pfeunix full filesystem errors linux,HIGH
customer user cannot access to helpdesk silvan,LOW
p nun nokia exploit multiple exploit types against single destination,MEDIUM
it corner concierge,LOW
atem tool application issues,LOW
credo internet issue upload and download speeds fluctuating,MEDIUM
it corner concierge,LOW
valid svo not available,LOW
ro software multiple sw issues,MEDIUM
unable to open software center,LOW
hosted virtual desktop cannot launch or start hvd,LOW
general otsuka main page,MEDIUM
nokiameetings error user authentication failed reason user account has been deactivated,LOW
vpn remote access missing gateways in anyconnect,LOW
nokia sharepoint sites all can not be reached,HIGH
in webex unable to share screen,LOW
hr request for training administration authorizations in helo,MEDIUM
obseleted user data,LOW
receiving proxy error in,MEDIUM
user is not able to access jiradc ext net nokia com,LOW
dp issue backup failure for,HIGH
exchange two user,CRITICAL
email address not updated for supplier in i buy although changed in sbm,LOW
sg unable to access lab pc,LOW
it corner concierge,LOW
there will be a planned power outage on the nokia area at the aalborg site alfred nobels vej,HIGH
ap staging vlanpak by,MEDIUM
pfizer com down linux,HIGH
blocked billing document release error,LOW
installing software access to jira permissions issue,LOW
analysis for excel issue,LOW
not in active im for,LOW
ncib bangalore production instance not working properly,MEDIUM
standard user account reset password,LOW
request for access rights to ee casn tools for new member lasse kiviluoto,LOW
software center application list is empty missing not opening,LOW
hr assign ad role,MEDIUM
it corner concierge,LOW
sap access for chandra fractal,MEDIUM
sharepoint document is missing a link,MEDIUM
it corner concierge,LOW
cares login id disabled issue,MEDIUM
user samirmahesh wadhwani sce com – repeating password issue,LOW
p nun nokia source trying to visit malicious domain,MEDIUM
plannon user creation,CRITICAL
hardware screen of the pc has been broken,MEDIUM
onedrive backup questions,MEDIUM
need assistance in mapping shared drives in computer,MEDIUM
fw your account has been used to make purchases in itunes,MEDIUM
update to release code,CRITICAL
office outlook not responding,MEDIUM
microsoft active directory account unlock,MEDIUM
iam itim template for update optional role for legacy role zc xx ar posting xxxx,MEDIUM
software fmo unable to install pc,LOW
data sync issue in ad cmdb,MEDIUM
vpn connection keeps on reconnecting,LOW
p nun nokia security risk found on host,MEDIUM
network slowness when accessing artifacts on artifactory ext net nokia com,LOW
n the security database on the server does not have a computer account for this workstation trust relationship,MEDIUM
p nun nokia soar security risk found on host,MEDIUM
it corner concierge,LOW
pl retain previous e mail address,MEDIUM
unable to start hvd,LOW
edge chromium pdf reader disable,LOW
lawson unable to login to,LOW
node in server farm unresponsive,LOW
new doors user authentcation,LOW
order for material in is not flown to ecp,LOW
office language pack language pack installation ru for office,LOW
specs completed in engineering applications site are not showing up in the mesa application,MEDIUM
nokia employee not in ldap,LOW
additional roles for,MEDIUM
cannot access destination ips after connected to maintenance gateway,MEDIUM
it corner concierge,LOW
activate ord for utenos prekyba,MEDIUM
error at the power up,LOW
user facing issue with information security program,MEDIUM
c drive almost full error,LOW
outlook other request to remove the calendar meeting notification,LOW
unable to access gerrit url http ext net nokia com,LOW
fnokia software installation of steelray project viewer from software catalog fails,MEDIUM
jabber nl user status not visible on jabber,LOW
in onenote i am not able to remove several secions secion groups it keeps comming back,LOW
p nun nokia soar security risk found on host,MEDIUM
portal password reset,MEDIUM
cy sap access,MEDIUM
terminate the laptop,LOW
be unable to access fn weekly repost test,MEDIUM
ee collaborator application issues,LOW
exchange two user,CRITICAL
jabber phone unable to connect to jabber phone services,LOW
c z cz sk abp load into fsr report,MEDIUM
fnokia aip microsoft azure information protection bar is missing after an update,LOW
issue with login,MEDIUM
issue elf june,MEDIUM
slowness observed in bo production,LOW
update variants kosovo,MEDIUM
jabber phone services jabber phone services not connected,LOW
wcs build servers can t be accessed,LOW
defect smp custom field project id doesn t work correctly,HIGH
it corner concierge,LOW
server unable to access,LOW
issue with traffic to server in us from europe,LOW
netwrix auditor inactive users in active directory report mocr otsuka com,MEDIUM
it corner concierge,LOW
oriom sandbox o drive mapping,MEDIUM
christine vreeland otsuka us com oracle discoverer error,MEDIUM
it creation survey,CRITICAL
emea pfizer com cpqtapestatuschange intel,LOW
request access for acos forge,MEDIUM
workday company code,MEDIUM
adobe printing issues on personal hp printer,MEDIUM
jabber phone services don´t work,LOW
amer pfizer com down intel,LOW
sap logon pad in citrix is not responding,LOW
kangitpanos labs ca alcatel lucent com server does not respond,MEDIUM
can t log into laptop,MEDIUM
hardware mouse pad not working even when using external mouse,LOW
sap running slow,HIGH
user intl att com – repeating password issue,LOW
invalid username or password was specified,MEDIUM
ht ac su energy wh,LOW
rs roles planning cockpit new production execution,MEDIUM
software fmo task secquence error,LOW
jabber phone services configuration error,LOW
pfizer com logmonitor memory errors escalate and investigate issues asap unix syslog pfeunix memory errors linux,LOW
vpn unable to reinstall,LOW
ng full mailbox,CRITICAL
urgent messaging status shows net standard orders pending,LOW
pop up error message,LOW
hardware laptop charger not working,MEDIUM
it corner concierge,LOW
hanged in read function in mail box,HIGH
ccr monitoring manufacturing order production version is lock for,LOW
listed users need to be corrected in sp back end,LOW
unable to schedule create webex meetings via outlook,MEDIUM
it corner concierge,LOW
aspire server error in application loading error,MEDIUM
unable to access support portal,LOW
password reset shahbaz cw mohammad,MEDIUM
p nun nokia proactive recurrent reinfection,MEDIUM
too many concurrent connections max allowed,MEDIUM
it corner concierge,LOW
treatnow eligibility kamali swaminathan,MEDIUM
it corner concierge,LOW
vpc blank screen,LOW
it corner concierge,LOW
pfizer com process the xntpd process has stopped escalate asap solaris zone,HIGH
when trying to take the skype call getting an error that skype headsets are not working,MEDIUM
can log into doors,LOW
my computer workstation,LOW
no teams meeting icon in outlook,MEDIUM
anyconnect vpn connection keeps on reconnecting your ticket has been solved,LOW
p nun nokia system device has stopped sending events offense generation,MEDIUM
posting issue in backend,LOW
it corner concierge,LOW
rsa configuration assistance in laptop,LOW
erm time entries while submitting throws error,MEDIUM
edit pop up with html,MEDIUM
